staion lat: 33.451
staion lon: 132.688
staion H: 190.000
dt: 0.01
duration: 77.000
EQ lat: 32.742
EQ lon: 130.808
EQ depth: 11.000
mag: 6.5
pgamax UD EW NS: 1.163,3.918,3.883
UD EW NS: 
 16.1731  -7.5027   9.2475
 16.1769  -7.4999   9.2523
 16.1826  -7.4951   9.2523
 16.1798  -7.4970   9.2475
 16.1798  -7.4980   9.2504
 16.1826  -7.4980   9.2542
 16.1798  -7.5027   9.2504
 16.1788  -7.5008   9.2465
 16.1798  -7.4970   9.2475
 16.1798  -7.4961   9.2542
 16.1798  -7.4951   9.2580
 16.1798  -7.4951   9.2551
 16.1826  -7.4961   9.2504
 16.1836  -7.4970   9.2504
 16.1798  -7.4999   9.2523
 16.1769  -7.5008   9.2523
 16.1798  -7.5008   9.2542
 16.1798  -7.4970   9.2513
 16.1788  -7.5008   9.2513
 16.1798  -7.5066   9.2551
 16.1798  -7.5027   9.2523
 16.1798  -7.4970   9.2484
 16.1836  -7.4970   9.2504
 16.1845  -7.4970   9.2504
 16.1798  -7.4999   9.2504
 16.1788  -7.4999   9.2551
 16.1826  -7.4932   9.2561
 16.1798  -7.4961   9.2513
 16.1798  -7.5046   9.2504
 16.1788  -7.5008   9.2523
 16.1760  -7.4980   9.2504
 16.1740  -7.4999   9.2513
 16.1798  -7.4970   9.2542
 16.1836  -7.4970   9.2504
 16.1826  -7.5008   9.2504
 16.1798  -7.4999   9.2551
 16.1760  -7.4980   9.2542
 16.1760  -7.4980   9.2523
 16.1826  -7.4961   9.2542
 16.1798  -7.4980   9.2513
 16.1788  -7.5027   9.2542
 16.1798  -7.4999   9.2580
 16.1798  -7.4970   9.2523
 16.1798  -7.5008   9.2475
 16.1836  -7.4999   9.2504
 16.1798  -7.4970   9.2504
 16.1740  -7.4999   9.2513
 16.1788  -7.4961   9.2513
 16.1798  -7.4951   9.2465
 16.1798  -7.4980   9.2475
 16.1826  -7.4961   9.2523
 16.1788  -7.4951   9.2513
 16.1760  -7.5008   9.2513
 16.1798  -7.4999   9.2551
 16.1798  -7.4970   9.2523
 16.1769  -7.5008   9.2504
 16.1798  -7.4980   9.2523
 16.1826  -7.4961   9.2513
 16.1798  -7.5008   9.2465
 16.1798  -7.5008   9.2484
 16.1826  -7.4961   9.2542
 16.1798  -7.4970   9.2523
 16.1826  -7.5008   9.2513
 16.1798  -7.4999   9.2523
 16.1731  -7.5027   9.2523
 16.1731  -7.5008   9.2542
 16.1788  -7.4932   9.2523
 16.1798  -7.4932   9.2523
 16.1788  -7.4980   9.2551
 16.1769  -7.5008   9.2542
 16.1769  -7.5027   9.2513
 16.1769  -7.5008   9.2513
 16.1769  -7.4970   9.2475
 16.1769  -7.5008   9.2504
 16.1798  -7.5027   9.2551
 16.1836  -7.4980   9.2504
 16.1826  -7.5027   9.2475
 16.1769  -7.5066   9.2513
 16.1788  -7.5008   9.2513
 16.1798  -7.4980   9.2504
 16.1760  -7.5027   9.2542
 16.1798  -7.4999   9.2551
 16.1798  -7.4999   9.2484
 16.1740  -7.5027   9.2475
 16.1740  -7.4970   9.2504
 16.1788  -7.4903   9.2504
 16.1788  -7.4961   9.2513
 16.1760  -7.5008   9.2542
 16.1760  -7.5027   9.2542
 16.1731  -7.5075   9.2551
 16.1702  -7.5085   9.2542
 16.1702  -7.5027   9.2513
 16.1731  -7.4980   9.2523
 16.1760  -7.5027   9.2523
 16.1769  -7.5046   9.2504
 16.1788  -7.5027   9.2475
 16.1826  -7.5027   9.2465
 16.1874  -7.5008   9.2465
 16.1903  -7.4999   9.2484
 16.1874  -7.5008   9.2504
 16.1826  -7.4999   9.2484
 16.1826  -7.4932   9.2484
